lon,lat
51.40908,-0.64425
51.40869,-0.64495
51.40921,-0.64468
51.409,-0.64519
51.40954,-0.64459
51.40914,-0.64522
51.40759,-0.6483
51.40719,-0.64884
51.40791,-0.6464
51.40741,-0.64635
51.40794,-0.64597
51.40745,-0.64591
51.4137,-0.65078
51.41299,-0.65087
51.41277,-0.64678
51.41307,-0.64717
51.41235,-0.65406
51.41182,-0.65403
51.41368,-0.64732
51.41368,-0.64641
51.41244,-0.64081
51.41198,-0.64003
51.41213,-0.64185
51.41153,-0.64159
51.41244,-0.64149
51.41301,-0.64217
51.37356,-0.73316
51.37338,-0.73416
51.37098,-0.72448
51.37201,-0.72614
51.375,-0.72861
51.37499,-0.72958
51.38487,-0.73985
51.38494,-0.74096
51.41264,-0.65109
51.41218,-0.65168
51.41329,-0.64214
51.41266,-0.64247
51.41314,-0.64635
51.41258,-0.64646
51.41301,-0.64375
51.41238,-0.64392
51.40694,-0.63839
51.40693,-0.64033
51.40818,-0.64602
51.40793,-0.64489
51.41045,-0.64506
51.41001,-0.64428
51.41265,-0.64886
51.41228,-0.64794
51.38096,-0.73513
51.38027,-0.73575
51.37846,-0.73674
51.37879,-0.73752
51.37861,-0.74302
51.37899,-0.74398
51.41095,-0.64901
51.41139,-0.64816
51.41126,-0.6496
51.41162,-0.64866
51.41376,-0.65115
51.41312,-0.65119
51.41333,-0.64939
51.41377,-0.64857
51.41273,-0.64724
51.41213,-0.64651
51.379,-0.74957
51.37854,-0.74998
51.37854,-0.74998
51.38069,-0.74647
51.38628,-0.74558
51.38591,-0.74455
51.41245,-0.64746
51.41192,-0.64679
51.41127,-0.64657
51.4119,-0.64703
51.41474,-0.64239
51.41445,-0.64446
51.51501,-0.82203
51.5155,-0.82086
51.51468,-0.82187
51.51511,-0.82087
51.51437,-0.82169
51.51466,-0.8206
51.4389,-0.73252
51.43952,-0.73248
51.43883,-0.73152
51.43941,-0.73149
51.43876,-0.73067
51.43941,-0.73059
51.51573,-0.82644
51.51605,-0.82493
51.51516,-0.82568
51.51553,-0.82457
51.51424,-0.82492
51.51458,-0.82404
51.51333,-0.82391
51.51374,-0.82297
