Population,rec_time,site,lab_time,time_since_min,min_t,sample_t,num_q,height,height,height,height,height,height,height,height,height,height,height,height
1,1000,3,8,8,5,17.5,4,9.1,20.9,19.8,17.7,,,,,,,,
2,1000,1,28,8,5,17.5,6,21.6,18.3,18.8,19,18.9,20.8,,,,,,
3,1000,3,8,8,5,17.5,7,7.3,8.7,10.2,20.8,18.8,18.8,20.2,,,,,
4,1000,3,8,8,5,17.5,5,20.8,19.7,20,17.6,19,,,,,,,
5,1000,3,8,8,5,17.5,4,9.2,21.1,18.9,19.8,,,,,,,,
6,1000,4,8,8,5,17.5,5,19.1,18.6,20.8,19.7,21.2,,,,,,,
7,1000,4,8,8,5,17.5,7,20.9,20.1,20.5,18,20,19.6,18.7,,,,,
8,1000,4,8,8,5,17.5,6,21.5,18.7,20.9,21.5,21.5,20.5,,,,,,
9,1000,1,28,8,5,17.5,5,10.8,7.9,20,21.4,21.5,,,,,,,
10,1000,2,22,8,5,17.5,5,9.4,17.6,19.4,20,18.4,,,,,,,
1,1100,3,8,9,5,20,3,21.4,19.1,19.7,,,,,,,,,
2,1100,1,28,9,5,20,8,17.6,21.4,17.6,20.8,20.1,17.8,17.9,21.5,,,,
3,1100,3,8,9,5,20,6,7.4,9.1,17.6,19.8,17.7,21,,,,,,
4,1100,3,8,9,5,20,5,20,19.2,18.7,18.7,20.9,,,,,,,
5,1100,3,8,9,5,20,4,10.1,20.2,17.8,19.9,,,,,,,,
6,1100,4,8,9,5,20,5,19.1,18.3,17.7,17.9,21,,,,,,,
7,1100,4,8,9,5,20,6,19.4,19.6,17.8,20.3,17.6,19.7,,,,,,
8,1100,4,8,9,5,20,7,19,20.2,19.2,18.7,21.1,19.9,20.2,,,,,
9,1100,1,28,9,5,20,5,9.6,12.9,20.6,21,18.5,,,,,,,
10,1100,2,22,9,5,20,5,10.1,21.3,17.5,21.3,18.1,,,,,,,
1,1200,3,8,10,5,20,4,20.1,19.1,19,20,,,,,,,,
2,1200,1,28,10,5,20,6,17.6,19.8,20.5,21.4,18.7,20.5,,,,,,
3,1200,3,8,10,5,20,6,20.4,21.1,19.6,19.7,19.9,20.3,,,,,,
4,1200,3,8,10,5,20,5,18.6,19.9,19.8,18.4,19.1,,,,,,,
5,1200,3,8,10,5,20,5,20.6,19.6,18.3,20.8,19.5,,,,,,,
6,1200,4,8,10,5,20,3,19.9,18.3,19.3,,,,,,,,,
7,1200,4,8,10,5,20,6,19.4,20.4,21.1,20.2,19.2,19.7,,,,,,
8,1200,4,8,10,5,20,4,21.2,18.3,18.2,18.9,,,,,,,,
9,1200,1,28,10,5,20,4,18,19.2,20.7,17.9,,,,,,,,
10,1200,2,22,10,5,20,6,9.5,19.6,19.8,18.9,20.4,19.3,,,,,,
1,1300,3,8,11,5,22.5,4,20.4,20.7,18,18.1,,,,,,,,
2,1300,1,28,11,5,22.5,5,19.8,21.3,20.3,20.1,19.1,,,,,,,
3,1300,3,8,11,5,22.5,6,7.3,15.1,18.7,21,20.1,18.5,,,,,,
4,1300,3,8,11,5,22.5,5,20.9,19.4,18.6,21.2,21,,,,,,,
5,1300,3,8,11,5,22.5,4,19,17.9,18,20.8,,,,,,,,
6,1300,4,8,11,5,22.5,4,19.2,19.3,19.7,20.2,,,,,,,,
7,1300,4,8,11,5,22.5,7,19.6,20.6,17.8,19.3,20.6,17.9,18.8,,,,,
8,1300,4,8,11,5,22.5,4,18.5,21.3,18.9,21.2,,,,,,,,
9,1300,1,28,11,5,22.5,4,18.3,20.6,17.9,20.1,,,,,,,,
10,1300,2,22,11,5,22.5,2,20.6,19.7,,,,,,,,,,
1,1400,3,8,12,5,22.5,4,20.4,18.8,20.2,21.2,,,,,,,,
2,1400,1,28,12,5,22.5,4,20.5,18.7,20.9,20.4,,,,,,,,
3,1400,3,8,12,5,22.5,5,17.1,6.9,20,19.4,19.5,,,,,,,
4,1400,3,8,12,5,22.5,4,20.9,19.9,19.4,19.1,,,,,,,,
5,1400,3,8,12,5,22.5,4,20.7,17.8,21,18.2,,,,,,,,
6,1400,4,8,12,5,22.5,3,20.5,17.9,21,,,,,,,,,
7,1400,4,8,12,5,22.5,6,18.4,20.8,18.6,18.6,21.1,20,,,,,,
8,1400,4,8,12,5,22.5,3,19.3,19.1,20.1,,,,,,,,,
9,1400,1,28,12,5,22.5,4,8.9,19.2,18.7,18.3,,,,,,,,
10,1400,2,22,12,5,22.5,5,9.2,20,17.8,19.4,20.8,,,,,,,
1,1500,3,8,13,5,25,5,10.3,21,19.6,18.3,19.1,,,,,,,
2,1500,1,28,13,5,25,7,19.7,17,18.6,21,18.5,19.5,18.7,,,,,
3,1500,3,8,13,5,25,6,7.6,8.1,13.2,18.2,20.7,19.4,,,,,,
4,1500,3,8,13,5,25,5,21.2,20.8,19.9,20.3,17.5,,,,,,,
5,1500,3,8,13,5,25,5,19.8,19.3,18.3,21.5,18.3,,,,,,,
6,1500,4,8,13,5,25,3,20.8,21.5,21.4,,,,,,,,,
7,1500,4,8,13,5,25,6,20.3,19.8,21.4,21.5,17,19.1,,,,,,
8,1500,4,8,13,5,25,7,19.8,18,21.4,18.7,19.5,17.1,21.4,,,,,
9,1500,1,28,13,5,25,6,9.4,17.1,20.7,19.9,17.3,17.4,21.5,,,,,
10,1500,2,22,13,5,25,4,17,19.5,17.2,21,,,,,,,,
1,1100,3,8,8,7.5,17.5,6,13.9,19.1,21.2,21,22,22.5,,,,,,
2,1100,1,28,8,7.5,17.5,8,21.1,20.9,20.7,19.1,18.2,12.1,10.4,,,,,
3,1100,3,8,8,7.5,17.5,7,22.1,20.3,21.1,19.8,8.2,14.2,13.6,,,,,
4,1100,3,8,8,7.5,17.5,7,19.8,20.1,21.1,20.3,22.4,20.8,16.9,,,,,
5,1100,3,8,8,7.5,17.5,5,20.1,18.9,21.2,22.1,4.3,,,,,,,
6,1100,4,8,8,7.5,17.5,4,19.7,20.3,19.6,21.4,,,,,,,,
7,1100,4,8,8,7.5,17.5,11,13.4,20.5,20.2,19.8,18.6,18.9,19.1,18.8,19.2,19.3,16.1,
8,1100,4,8,8,7.5,17.5,7,20.1,19.8,20.3,21.5,18.7,21.3,20.2,,,,,
9,1100,1,28,8,7.5,17.5,6,18.6,19.6,20.3,20.1,17.9,19.3,,,,,,
10,1100,2,22,8,7.5,17.5,5,21.6,18.7,19.1,20.5,19.9,,,,,,,
1,1200,3,8,9,7.5,20,4,17.8,18.9,19.2,18.4,,,,,,,,
2,1200,1,28,9,7.5,20,8,7.2,19.4,18.9,19.3,18.4,20.7,18.6,20.2,19.7,,,
3,1200,3,8,9,7.5,20,9,8.5,17.9,18.2,19.6,17.8,18.5,19.8,17.6,18.1,19.4,,
4,1200,3,8,9,7.5,20,5,20.8,20.4,17.9,18.8,19.7,,,,,,,
5,1200,3,8,9,7.5,20,5,4.3,18.3,19.8,18.7,20.4,,,,,,,
6,1200,4,8,9,7.5,20,4,17.6,18.5,19.2,16.9,,,,,,,,
7,1200,4,8,9,7.5,20,11,17.1,20.3,18.6,17.5,19.4,20.2,18.5.,19.9,17.7,19,18.9,
8,1200,4,8,9,7.5,20,8,20.9,21.2,19.8,20.6,19.6,20.5,21.1,18.7,,,,
9,1200,1,28,9,7.5,20,7,19.7,17.8,18.2,20.3,19,3,18.8,20,,,,
10,1200,2,22,9,7.5,20,4,17.5,20.7,19.6,19.9,,,,,,,,
1,1300,3,8,10,7.5,20,6,13.5,10,19.7,16.8,18.6,20.4,,,,,,
2,1300,1,28,10,7.5,20,5,18.1,19.2,19.4,18.5,19.6,,,,,,,
3,1300,3,8,10,7.5,20,9,8.3,18.8,20.1,18.7,19.2,18.8,18.5,19.9,19.2,,,
4,1300,3,8,10,7.5,20,5,20.2,20,19.5,19.7,18.1,,,,,,,
5,1300,3,8,10,7.5,20,6,6.1,19.4,19.1,18.6,20.3,18.6,,,,,,
6,1300,4,8,10,7.5,20,6,20.3,17.6,18.8,19.3,18.2,20.3,,,,,,
7,1300,4,8,10,7.5,20,10,18.6,19.1,17.6,20.3,17.6,19.8,19.4,17.7,17.8,20.3,,
8,1300,4,8,10,7.5,20,6,9.7,17.5,19.1,17.7,20,19.2,,,,,,
9,1300,1,28,10,7.5,20,7,18.7,18.4,18.4,19.9,19.4,17.7,19.2,,,,,
10,1300,2,22,10,7.5,20,5,18.6,18,17.6,17.8,19.9,,,,,,,
1,1400,3,8,11,7.5,22.5,6,14.1,18.9,19,17.7,19.5,17.5,,,,,,
2,1400,1,28,11,7.5,22.5,6,16.2,19,18.5,19.4,18.7,18.3,,,,,,
3,1400,3,8,11,7.5,22.5,12,9.3,8.4,20.1,19.2,19.4,19.7,19.9,18.2,20.2,17.5,20.2,17.9
4,1400,3,8,11,7.5,22.5,5,19.3,18.7,18.5,19.3,17.6,,,,,,,
5,1400,3,8,11,7.5,22.5,5,19.1,19.7,20.2,18.3,19.6,,,,,,,
6,1400,4,8,11,7.5,22.5,5,19.7,20.3,19,19.1,19.2,,,,,,,
7,1400,4,8,11,7.5,22.5,8,19.6,18.2,19.2,19.2,19.6,18,18.6,19.8,,,,
8,1400,4,8,11,7.5,22.5,6,19,17.9,20,18.9,19.2,17.9,,,,,,
9,1400,1,28,11,7.5,22.5,5,18.8,18.8,19.7,20.2,19.5,,,,,,,
10,1400,2,22,11,7.5,22.5,4,15.2,18.7,19.1,19.9,19.1,,,,,,,
1,1500,3,8,12,7.5,22.5,5,13.1,19.9,18.4,18.4,19.4,,,,,,,
2,1500,1,28,12,7.5,22.5,6,14.2,19.8,19.1,19.2,17.6,18.6,,,,,,
3,1500,3,8,12,7.5,22.5,9,11.9,13.4,20,18.5,19.1,18.6,18.3,19.8,19,,,
4,1500,3,8,12,7.5,22.5,5,18.7,21.5,18.7,20.9,21.5,,,,,,,
5,1500,3,8,12,7.5,22.5,3,21.5,20.5,20,,,,,,,,,
6,1500,4,8,12,7.5,22.5,4,19.7,17.6,21.4,17.6,,,,,,,,
7,1500,4,8,12,7.5,22.5,8,21.4,21.5,17.6,19.4,20,18.4,21.4,19.2,,,,
8,1500,4,8,12,7.5,22.5,6,20.8,20.1,17.8,17.9,21.5,17.6,,,,,,
9,1500,1,28,12,7.5,22.5,8,19.8,17.7,21,20,19.2,18.7,18.7,20.9,,,,
10,1500,2,22,12,7.5,22.5,8,9.2,20.2,17.8,19.9,19.1,18.3,17.7,17.9,,,,
1,1600,3,8,13,7.5,25,6,12.7,21,19.4,19.6,17.8,20.3,,,,,,
2,1600,1,28,13,7.5,25,7,17.6,19.7,19,20.2,19.2,18.7,21.1,,,,,
3,1600,3,8,13,7.5,25,7,8.1,7.6,11.3,19.9,20.2,20.6,21,,,,,
4,1600,3,8,13,7.5,25,5,18.5,21.3,17.5,21.3,18.1,,,,,,,
5,1600,3,8,13,7.5,25,5,20.1,19.1,19,20,17.6,,,,,,,
6,1600,4,8,13,7.5,25,4,19.8,20.5,21.4,18.7,,,,,,,,
7,1600,4,8,13,7.5,25,6,20.5,20.6,21.4,19.6,19.8,19.9,,,,,,
8,1600,4,8,13,7.5,25,7,20.4,18.5,20,19.9,20.5,18.2,19.1,,,,,
9,1600,1,28,13,7.5,25,7,20.8,19.6,18.1,21,19.5,19.9,18.1,,,,,
10,1600,2,22,13,7.5,25,5,9.2,19.3,19.3,20.6,21.4,20.3,19.2,19.7,,,,
1,1000,3,8,8,10,17.5,7,13.7,20.7,18.9,18.9,20.1,20.6,19.7,,,,,
2,1000,1,28,8,10,17.5,6,19.9,17.9,19.1,20.9,19,19.7,,,,,,
3,1000,3,8,8,10,17.5,9,6.8,8.1,19.1,18.7,20.6,19.6,21,20.7,20,,,
4,1000,3,8,8,10,17.5,8,7.1,14.2,20.4,18.3,20,19.6,18.8,21.2,,,,
5,1000,3,8,8,10,17.5,8,9.1,12.5,18.8,20.7,21.2,21.2,20.4,19.9,,,,
6,1000,4,8,8,10,17.5,6,10.4,21.1,21.2,17.9,19.4,20,18.6,,,,,
7,1000,4,8,8,10,17.5,6,13.7,21.2,19.1,19.7,17.9,21.1,,,,,,
8,1000,4,8,8,10,17.5,6,11.3,17.9,20.6,20.1,18.1,18.2,,,,,,
9,1000,1,28,8,10,17.5,9,8.7,3.2,17.8,19.8,18,20.8,19.9,19.3,18.9,,,
10,1000,2,22,8,10,17.5,7,9.4,6.9,18.8,20.7,20.1,18,19.9,,,,,
1,1100,3,8,9,10,20,7,13.1,19.2,18.5,18,18.1,20.8,19.4,,,,,
2,1100,1,28,9,10,20,6,19.6,18,20.2,17.9,19.6,19.1,,,,,,
3,1100,3,8,9,10,20,10,6.2,8.9,20.1,19.3,18.8,20.9,19.9,20.1,20.5,20.7,,
4,1100,3,8,9,10,20,7,10.7,18.7,21,17.8,21,18.3,20,,,,,
