pop,numb_q,numb_tick,perc_q,rec_time,site,lab_time,time_since_min,min_t,sample_t,mean_nt
1,4,15,0.266666667,1000,3,8,8,5,17.5,10
2,6,15,0.4,1000,1,28,8,5,17.5,10
3,7,15,0.466666667,1000,3,8,8,5,17.5,10
4,5,15,0.333333333,1000,3,8,8,5,17.5,10
5,4,15,0.266666667,1000,3,8,8,5,17.5,10
6,5,15,0.333333333,1000,4,8,8,5,17.5,10
7,7,15,0.466666667,1000,4,8,8,5,17.5,10
8,6,15,0.4,1000,4,8,8,5,17.5,10
9,5,15,0.333333333,1000,1,28,8,5,17.5,10
10,5,15,0.333333333,1000,2,22,8,5,17.5,10
1,3,15,0.2,1100,3,8,9,5,20,10
2,8,15,0.533333333,1100,1,28,9,5,20,10
3,6,15,0.4,1100,3,8,9,5,20,10
4,5,15,0.333333333,1100,3,8,9,5,20,10
5,4,15,0.266666667,1100,3,8,9,5,20,10
6,5,15,0.333333333,1100,4,8,9,5,20,10
7,6,15,0.4,1100,4,8,9,5,20,10
8,7,15,0.466666667,1100,4,8,9,5,20,10
9,5,15,0.333333333,1100,1,28,9,5,20,10
10,5,15,0.333333333,1100,2,22,9,5,20,10
1,4,15,0.266666667,1200,3,8,10,5,20,10
2,6,15,0.4,1200,1,28,10,5,20,10
3,6,15,0.4,1200,3,8,10,5,20,10
4,5,15,0.333333333,1200,3,8,10,5,20,10
5,5,15,0.333333333,1200,3,8,10,5,20,10
6,3,15,0.2,1200,4,8,10,5,20,10
7,6,15,0.4,1200,4,8,10,5,20,10
8,4,15,0.266666667,1200,4,8,10,5,20,10
9,4,15,0.266666667,1200,1,28,10,5,20,10
10,6,15,0.4,1200,2,22,10,5,20,10
1,4,15,0.266666667,1300,3,8,11,5,22.5,10
2,5,15,0.333333333,1300,1,28,11,5,22.5,10
3,6,15,0.4,1300,3,8,11,5,22.5,10
4,5,15,0.333333333,1300,3,8,11,5,22.5,10
5,4,15,0.266666667,1300,3,8,11,5,22.5,10
6,4,15,0.266666667,1300,4,8,11,5,22.5,10
7,7,15,0.466666667,1300,4,8,11,5,22.5,10
8,4,15,0.266666667,1300,4,8,11,5,22.5,10
9,4,15,0.266666667,1300,1,28,11,5,22.5,10
10,2,15,0.133333333,1300,2,22,11,5,22.5,10
1,4,15,0.266666667,1400,3,8,12,5,22.5,10
2,4,15,0.266666667,1400,1,28,12,5,22.5,10
3,5,15,0.333333333,1400,3,8,12,5,22.5,10
4,4,15,0.266666667,1400,3,8,12,5,22.5,10
5,4,15,0.266666667,1400,3,8,12,5,22.5,10
6,3,15,0.2,1400,4,8,12,5,22.5,10
7,6,15,0.4,1400,4,8,12,5,22.5,10
8,3,15,0.2,1400,4,8,12,5,22.5,10
9,4,15,0.266666667,1400,1,28,12,5,22.5,10
10,5,15,0.333333333,1400,2,22,12,5,22.5,10
1,5,15,0.333333333,1500,3,8,13,5,25,10
2,7,15,0.466666667,1500,1,28,13,5,25,10
3,6,15,0.4,1500,3,8,13,5,25,10
4,5,15,0.333333333,1500,3,8,13,5,25,10
5,5,15,0.333333333,1500,3,8,13,5,25,10
6,3,15,0.2,1500,4,8,13,5,25,10
7,6,15,0.4,1500,4,8,13,5,25,10
8,7,15,0.466666667,1500,4,8,13,5,25,10
9,6,15,0.4,1500,1,28,13,5,25,10
10,4,15,0.266666667,1500,2,22,13,5,25,10
1,6,15,0.4,1100,3,8,9,7.5,17.5,11.5
2,8,15,0.533333333,1100,1,28,9,7.5,17.5,11.5
3,7,15,0.466666667,1100,3,8,9,7.5,17.5,11.5
4,7,15,0.466666667,1100,3,8,9,7.5,17.5,11.5
5,5,15,0.333333333,1100,3,8,9,7.5,17.5,11.5
6,4,15,0.266666667,1100,4,8,9,7.5,17.5,11.5
7,11,15,0.733333333,1100,4,8,9,7.5,17.5,11.5
8,7,15,0.466666667,1100,4,8,9,7.5,17.5,11.5
9,6,15,0.4,1100,1,28,9,7.5,17.5,11.5
10,5,15,0.333333333,1100,2,22,9,7.5,17.5,11.5
1,4,15,0.266666667,1200,3,8,10,7.5,20,11.5
2,8,15,0.533333333,1200,1,28,10,7.5,20,11.5
3,9,15,0.6,1200,3,8,10,7.5,20,11.5
4,5,15,0.333333333,1200,3,8,10,7.5,20,11.5
5,5,15,0.333333333,1200,3,8,10,7.5,20,11.5
6,4,15,0.266666667,1200,4,8,10,7.5,20,11.5
7,11,15,0.733333333,1200,4,8,10,7.5,20,11.5
8,8,15,0.533333333,1200,4,8,10,7.5,20,11.5
9,7,15,0.466666667,1200,1,28,10,7.5,20,11.5
10,4,15,0.266666667,1200,2,22,10,7.5,20,11.5
1,6,15,0.4,1300,3,8,11,7.5,20,11.5
2,5,15,0.333333333,1300,1,28,11,7.5,20,11.5
3,9,15,0.6,1300,3,8,11,7.5,20,11.5
4,5,15,0.333333333,1300,3,8,11,7.5,20,11.5
5,6,15,0.4,1300,3,8,11,7.5,20,11.5
6,6,15,0.4,1300,4,8,11,7.5,20,11.5
7,10,15,0.666666667,1300,4,8,11,7.5,20,11.5
